id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
122,Ikiru,Drama,8.3,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer.,79.0,Akira Kurosawa,Takashi Shimura,Nobuo Kaneko,Shin'ichi Himori,Haruo Tanaka,68463,Drama Akira Kurosawa A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer. Takashi Shimura Nobuo Kaneko Shin'ichi Himori Haruo Tanaka
123,Ladri di biciclette,Drama,8.3,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",79.0,Vittorio De Sica,Lamberto Maggiorani,Enzo Staiola,Lianella Carell,Elena Altieri,146427,"Drama Vittorio De Sica In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it. Lamberto Maggiorani Enzo Staiola Lianella Carell Elena Altieri"
124,Double Indemnity,Crime,8.3,An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,95.0,Billy Wilder,Fred MacMurray,Barbara Stanwyck,Edward G. Robinson,Byron Barr,143525,Crime Billy Wilder An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator. Fred MacMurray Barbara Stanwyck Edward G. Robinson Byron Barr
125,Citizen Kane,Drama,8.3,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",100.0,Orson Welles,Orson Welles,Joseph Cotten,Dorothy Comingore,Agnes Moorehead,403351,"Drama Orson Welles Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'. Orson Welles Joseph Cotten Dorothy Comingore Agnes Moorehead"
126,M - Eine Stadt sucht einen Mörder,Crime,8.3,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",79.0,Fritz Lang,Peter Lorre,Ellen Widmann,Inge Landgut,Otto Wernicke,143434,"Crime Fritz Lang When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt. Peter Lorre Ellen Widmann Inge Landgut Otto Wernicke"
127,Metropolis,Drama,8.3,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences.",98.0,Fritz Lang,Brigitte Helm,Alfred Abel,Gustav Fröhlich,Rudolf Klein-Rogge,159992,"Drama Fritz Lang In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences. Brigitte Helm Alfred Abel Gustav Fröhlich Rudolf Klein-Rogge"
128,The Kid,Comedy,8.3,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",79.0,Charles Chaplin,Charles Chaplin,Edna Purviance,Jackie Coogan,Carl Miller,113314,"Comedy Charles Chaplin The Tramp cares for an abandoned child, but events put that relationship in jeopardy. Charles Chaplin Edna Purviance Jackie Coogan Carl Miller"
129,Chhichhore,Comedy,8.2,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",79.0,Nitesh Tiwari,Sushant Singh Rajput,Shraddha Kapoor,Varun Sharma,Prateik,33893,"Comedy Nitesh Tiwari A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers. Sushant Singh Rajput Shraddha Kapoor Varun Sharma Prateik"
130,Uri: The Surgical Strike,Action,8.2,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",79.0,Aditya Dhar,Vicky Kaushal,Paresh Rawal,Mohit Raina,Yami Gautam,43444,"Action Aditya Dhar Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group. Vicky Kaushal Paresh Rawal Mohit Raina Yami Gautam"
131,K.G.F: Chapter 1,Action,8.2,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",79.0,Prashanth Neel,Yash,Srinidhi Shetty,Ramachandra Raju,Archana Jois,36680,"Action Prashanth Neel In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people. Yash Srinidhi Shetty Ramachandra Raju Archana Jois"
132,Green Book,Biography,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,69.0,Peter Farrelly,Viggo Mortensen,Mahershala Ali,Linda Cardellini,Sebastian Maniscalco,377884,Biography Peter Farrelly A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South. Viggo Mortensen Mahershala Ali Linda Cardellini Sebastian Maniscalco
133,"Three Billboards Outside Ebbing, Missouri",Comedy,8.2,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,88.0,Martin McDonagh,Frances McDormand,Woody Harrelson,Sam Rockwell,Caleb Landry Jones,432610,Comedy Martin McDonagh A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit. Frances McDormand Woody Harrelson Sam Rockwell Caleb Landry Jones
134,Talvar,Crime,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,79.0,Meghna Gulzar,Irrfan Khan,Konkona Sen Sharma,Neeraj Kabi,Sohum Shah,31142,Crime Meghna Gulzar An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide. Irrfan Khan Konkona Sen Sharma Neeraj Kabi Sohum Shah
135,Baahubali 2: The Conclusion,Action,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",79.0,S.S. Rajamouli,Prabhas,Rana Daggubati,Anushka Shetty,Tamannaah Bhatia,75348,"Action S.S. Rajamouli When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom. Prabhas Rana Daggubati Anushka Shetty Tamannaah Bhatia"
136,Klaus,Animation,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",65.0,Sergio Pablos,Carlos Martínez López,Jason Schwartzman,J.K. Simmons,Rashida Jones,104761,"Animation Sergio Pablos A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions. Carlos Martínez López Jason Schwartzman J.K. Simmons Rashida Jones"
137,Drishyam,Crime,8.2,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",79.0,Nishikant Kamat,Ajay Devgn,Shriya Saran,Tabu,Rajat Kapoor,70367,"Crime Nishikant Kamat Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime. Ajay Devgn Shriya Saran Tabu Rajat Kapoor"
138,Queen,Adventure,8.2,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,79.0,Vikas Bahl,Kangana Ranaut,Rajkummar Rao,Lisa Haydon,Jeffrey Ho,60701,Adventure Vikas Bahl A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled. Kangana Ranaut Rajkummar Rao Lisa Haydon Jeffrey Ho
139,Mandariinid,Drama,8.2,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",73.0,Zaza Urushadze,Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,Misha Meskhi,40382,"Drama Zaza Urushadze In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in. Lembit Ulfsak Elmo Nüganen Giorgi Nakashidze Misha Meskhi"
140,Bhaag Milkha Bhaag,Biography,8.2,The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition.,79.0,Rakeysh Omprakash Mehra,Farhan Akhtar,Sonam Kapoor,Pawan Malhotra,Art Malik,61137,Biography Rakeysh Omprakash Mehra The truth behind the ascension of Milkha Singh who was scarred because of the India-Pakistan partition. Farhan Akhtar Sonam Kapoor Pawan Malhotra Art Malik
141,Gangs of Wasseypur,Action,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",89.0,Anurag Kashyap,Manoj Bajpayee,Richa Chadha,Nawazuddin Siddiqui,Tigmanshu Dhulia,82365,"Action Anurag Kashyap A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations. Manoj Bajpayee Richa Chadha Nawazuddin Siddiqui Tigmanshu Dhulia"
142,Udaan,Drama,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",79.0,Vikramaditya Motwane,Rajat Barmecha,Ronit Roy,Manjot Singh,Ram Kapoor,42341,"Drama Vikramaditya Motwane Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father. Rajat Barmecha Ronit Roy Manjot Singh Ram Kapoor"
143,Paan Singh Tomar,Action,8.2,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",79.0,Tigmanshu Dhulia,Irrfan Khan,Mahie Gill,Rajesh Abhay,Hemendra Dandotiya,33237,"Action Tigmanshu Dhulia The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement. Irrfan Khan Mahie Gill Rajesh Abhay Hemendra Dandotiya"
144,El secreto de sus ojos,Drama,8.2,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,80.0,Juan José Campanella,Ricardo Darín,Soledad Villamil,Pablo Rago,Carla Quevedo,193217,Drama Juan José Campanella A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later. Ricardo Darín Soledad Villamil Pablo Rago Carla Quevedo
145,Warrior,Action,8.2,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",71.0,Gavin O'Connor,Tom Hardy,Nick Nolte,Joel Edgerton,Jennifer Morrison,435950,"Action Gavin O'Connor The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother. Tom Hardy Nick Nolte Joel Edgerton Jennifer Morrison"
146,Shutter Island,Mystery,8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",63.0,Martin Scorsese,Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo,Ben Kingsley,1129894,"Mystery Martin Scorsese In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane. Leonardo DiCaprio Emily Mortimer Mark Ruffalo Ben Kingsley"
147,Up,Animation,8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",88.0,Pete Docter,Bob Peterson,Edward Asner,Jordan Nagai,John Ratzenberger,935507,"Animation Pete Docter 78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway. Bob Peterson Edward Asner Jordan Nagai John Ratzenberger"
148,The Wolf of Wall Street,Biography,8.2,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",75.0,Martin Scorsese,Leonardo DiCaprio,Jonah Hill,Margot Robbie,Matthew McConaughey,1187498,"Biography Martin Scorsese Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government. Leonardo DiCaprio Jonah Hill Margot Robbie Matthew McConaughey"
149,Chak De! India,Drama,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,68.0,Shimit Amin,Shah Rukh Khan,Vidya Malvade,Sagarika Ghatge,Shilpa Shukla,74129,Drama Shimit Amin Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds. Shah Rukh Khan Vidya Malvade Sagarika Ghatge Shilpa Shukla
150,There Will Be Blood,Drama,8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",93.0,Paul Thomas Anderson,Daniel Day-Lewis,Paul Dano,Ciarán Hinds,Martin Stringer,517359,"Drama Paul Thomas Anderson A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business. Daniel Day-Lewis Paul Dano Ciarán Hinds Martin Stringer"
151,Pan's Labyrinth,Drama,8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",98.0,Guillermo del Toro,Ivana Baquero,Ariadna Gil,Sergi López,Maribel Verdú,618623,"Drama Guillermo del Toro In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world. Ivana Baquero Ariadna Gil Sergi López Maribel Verdú"
152,Toy Story 3,Animation,8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",92.0,Lee Unkrich,Tom Hanks,Tim Allen,Joan Cusack,Ned Beatty,757032,"Animation Lee Unkrich The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home. Tom Hanks Tim Allen Joan Cusack Ned Beatty"
153,V for Vendetta,Action,8.2,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",62.0,James McTeigue,Hugo Weaving,Natalie Portman,Rupert Graves,Stephen Rea,1032749,"Action James McTeigue In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman. Hugo Weaving Natalie Portman Rupert Graves Stephen Rea"
154,Rang De Basanti,Comedy,8.2,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",79.0,Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,Sharman Joshi,111937,"Comedy Rakeysh Omprakash Mehra The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom. Aamir Khan Soha Ali Khan Siddharth Sharman Joshi"
155,Black,Drama,8.2,"The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world.",79.0,Sanjay Leela Bhansali,Amitabh Bachchan,Rani Mukerji,Shernaz Patel,Ayesha Kapoor,33354,"Drama Sanjay Leela Bhansali The cathartic tale of a young woman who can't see, hear or talk and the teacher who brings a ray of light into her dark world. Amitabh Bachchan Rani Mukerji Shernaz Patel Ayesha Kapoor"
156,Batman Begins,Action,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",70.0,Christopher Nolan,Christian Bale,Michael Caine,Ken Watanabe,Liam Neeson,1308302,"Action Christopher Nolan After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption. Christian Bale Michael Caine Ken Watanabe Liam Neeson"
157,"Swades: We, the People",Drama,8.2,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,79.0,Ashutosh Gowariker,Shah Rukh Khan,Gayatri Joshi,Kishori Ballal,Smit Sheth,83005,Drama Ashutosh Gowariker A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots. Shah Rukh Khan Gayatri Joshi Kishori Ballal Smit Sheth
158,Der Untergang,Biography,8.2,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",82.0,Oliver Hirschbiegel,Bruno Ganz,Alexandra Maria Lara,Ulrich Matthes,Juliane Köhler,331308,"Biography Oliver Hirschbiegel Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII. Bruno Ganz Alexandra Maria Lara Ulrich Matthes Juliane Köhler"
159,Hauru no ugoku shiro,Animation,8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",80.0,Hayao Miyazaki,Chieko Baishô,Takuya Kimura,Tatsuya Gashûin,Akihiro Miwa,333915,"Animation Hayao Miyazaki When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle. Chieko Baishô Takuya Kimura Tatsuya Gashûin Akihiro Miwa"
160,A Beautiful Mind,Biography,8.2,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",72.0,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,Christopher Plummer,848920,"Biography Ron Howard After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish. Russell Crowe Ed Harris Jennifer Connelly Christopher Plummer"
161,Hera Pheri,Action,8.2,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",79.0,Priyadarshan,Akshay Kumar,Sunil Shetty,Paresh Rawal,Tabu,57057,"Action Priyadarshan Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it? Akshay Kumar Sunil Shetty Paresh Rawal Tabu"
162,"Lock, Stock and Two Smoking Barrels",Action,8.2,"A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns.",66.0,Guy Ritchie,Jason Flemyng,Dexter Fletcher,Nick Moran,Jason Statham,535216,"Action Guy Ritchie A botched card game in London triggers four friends, thugs, weed-growers, hard gangsters, loan sharks and debt collectors to collide with each other in a series of unexpected events, all for the sake of weed, cash and two antique shotguns. Jason Flemyng Dexter Fletcher Nick Moran Jason Statham"
163,L.A. Confidential,Crime,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",90.0,Curtis Hanson,Kevin Spacey,Russell Crowe,Guy Pearce,Kim Basinger,531967,"Crime Curtis Hanson As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice. Kevin Spacey Russell Crowe Guy Pearce Kim Basinger"
164,Eskiya,Crime,8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",79.0,Yavuz Turgul,Sener Sen,Ugur Yücel,Sermin Hürmeriç,Yesim Salkim,64118,"Crime Yavuz Turgul Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover. Sener Sen Ugur Yücel Sermin Hürmeriç Yesim Salkim"
165,Heat,Crime,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,76.0,Michael Mann,Al Pacino,Robert De Niro,Val Kilmer,Jon Voight,577113,Crime Michael Mann A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist. Al Pacino Robert De Niro Val Kilmer Jon Voight
166,Casino,Crime,8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",73.0,Martin Scorsese,Robert De Niro,Sharon Stone,Joe Pesci,James Woods,466276,"Crime Martin Scorsese A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite. Robert De Niro Sharon Stone Joe Pesci James Woods"
167,Andaz Apna Apna,Action,8.2,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,79.0,Rajkumar Santoshi,Aamir Khan,Salman Khan,Raveena Tandon,Karisma Kapoor,49300,Action Rajkumar Santoshi Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal. Aamir Khan Salman Khan Raveena Tandon Karisma Kapoor
168,Unforgiven,Drama,8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",85.0,Clint Eastwood,Clint Eastwood,Gene Hackman,Morgan Freeman,Richard Harris,375935,"Drama Clint Eastwood Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."" Clint Eastwood Gene Hackman Morgan Freeman Richard Harris"
169,Indiana Jones and the Last Crusade,Action,8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.",65.0,Steven Spielberg,Harrison Ford,Sean Connery,Alison Doody,Denholm Elliott,692366,"Action Steven Spielberg In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers. Harrison Ford Sean Connery Alison Doody Denholm Elliott"
170,Dom za vesanje,Comedy,8.2,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",79.0,Emir Kusturica,Davor Dujmovic,Bora Todorovic,Ljubica Adzovic,Husnija Hasimovic,26402,"Comedy Emir Kusturica In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves. Davor Dujmovic Bora Todorovic Ljubica Adzovic Husnija Hasimovic"
171,Tonari no Totoro,Animation,8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86.0,Hayao Miyazaki,Hitoshi Takagi,Noriko Hidaka,Chika Sakamoto,Shigesato Itoi,291180,"Animation Hayao Miyazaki When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby. Hitoshi Takagi Noriko Hidaka Chika Sakamoto Shigesato Itoi"
172,Die Hard,Action,8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,72.0,John McTiernan,Bruce Willis,Alan Rickman,Bonnie Bedelia,Reginald VelJohnson,793164,Action John McTiernan An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles. Bruce Willis Alan Rickman Bonnie Bedelia Reginald VelJohnson
173,Ran,Action,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",96.0,Akira Kurosawa,Tatsuya Nakadai,Akira Terao,Jinpachi Nezu,Daisuke Ryû,112505,"Action Akira Kurosawa In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him. Tatsuya Nakadai Akira Terao Jinpachi Nezu Daisuke Ryû"
174,Raging Bull,Biography,8.2,"The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.",89.0,Martin Scorsese,Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,321860,"Biography Martin Scorsese The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it. Robert De Niro Cathy Moriarty Joe Pesci Frank Vincent"
175,Stalker,Drama,8.2,A guide leads two men through an area known as the Zone to find a room that grants wishes.,79.0,Andrei Tarkovsky,Alisa Freyndlikh,Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,116945,Drama Andrei Tarkovsky A guide leads two men through an area known as the Zone to find a room that grants wishes. Alisa Freyndlikh Aleksandr Kaydanovskiy Anatoliy Solonitsyn Nikolay Grinko
176,Höstsonaten,Drama,8.2,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",79.0,Ingmar Bergman,Ingrid Bergman,Liv Ullmann,Lena Nyman,Halvar Björk,26875,"Drama Ingmar Bergman A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist. Ingrid Bergman Liv Ullmann Lena Nyman Halvar Björk"
177,The Message,Biography,8.2,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,79.0,Moustapha Akkad,Anthony Quinn,Irene Papas,Michael Ansara,Johnny Sekka,43885,Biography Moustapha Akkad This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history. Anthony Quinn Irene Papas Michael Ansara Johnny Sekka
178,Sholay,Action,8.2,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",79.0,Ramesh Sippy,Sanjeev Kumar,Dharmendra,Amitabh Bachchan,Amjad Khan,51284,"Action Ramesh Sippy After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit. Sanjeev Kumar Dharmendra Amitabh Bachchan Amjad Khan"
179,Monty Python and the Holy Grail,Adventure,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91.0,Terry Gilliam,Terry Jones,Graham Chapman,John Cleese,Eric Idle,500875,"Adventure Terry Gilliam King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles. Terry Jones Graham Chapman John Cleese Eric Idle"
180,The Great Escape,Adventure,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,86.0,John Sturges,Steve McQueen,James Garner,Richard Attenborough,Charles Bronson,224730,Adventure John Sturges Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II. Steve McQueen James Garner Richard Attenborough Charles Bronson
181,To Kill a Mockingbird,Crime,8.2,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",88.0,Robert Mulligan,Gregory Peck,John Megna,Frank Overton,Rosemary Murphy,293811,"Crime Robert Mulligan Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice. Gregory Peck John Megna Frank Overton Rosemary Murphy"
182,Yôjinbô,Action,8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,79.0,Akira Kurosawa,Toshirô Mifune,Eijirô Tôno,Tatsuya Nakadai,Yôko Tsukasa,111244,Action Akira Kurosawa A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town. Toshirô Mifune Eijirô Tôno Tatsuya Nakadai Yôko Tsukasa
183,Judgment at Nuremberg,Drama,8.2,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",60.0,Stanley Kramer,Spencer Tracy,Burt Lancaster,Richard Widmark,Marlene Dietrich,69458,"Drama Stanley Kramer In 1948, an American court in occupied Germany tries four Nazis judged for war crimes. Spencer Tracy Burt Lancaster Richard Widmark Marlene Dietrich"
184,Some Like It Hot,Comedy,8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",98.0,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,George Raft,243943,"Comedy Billy Wilder After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in. Marilyn Monroe Tony Curtis Jack Lemmon George Raft"
185,Smultronstället,Drama,8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",88.0,Ingmar Bergman,Victor Sjöström,Bibi Andersson,Ingrid Thulin,Gunnar Björnstrand,96381,"Drama Ingmar Bergman After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence. Victor Sjöström Bibi Andersson Ingrid Thulin Gunnar Björnstrand"
