id,Series_Title,Genre,IMDB_Rating,Overview,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,combined_features
582,Under sandet,Drama,7.8,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",75.0,Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,35539,"Drama Martin Zandvliet In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight. Roland Møller Louis Hofmann Joel Basman Mikkel Boe Følsgaard"
583,Rogue One,Action,7.8,The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star.,65.0,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,Action Gareth Edwards The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the plans for the Death Star. Felicity Jones Diego Luna Alan Tudyk Donnie Yen
584,Captain America: Civil War,Action,7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,75.0,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,663649,Action Anthony Russo Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man. Joe Russo Chris Evans Robert Downey Jr. Scarlett Johansson
585,The Hateful Eight,Crime,7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",68.0,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059,"Crime Quentin Tarantino In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters. Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins"
586,Little Women,Drama,7.8,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.",91.0,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250,"Drama Greta Gerwig Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms. Saoirse Ronan Emma Watson Florence Pugh Eliza Scanlen"
587,Loving Vincent,Animation,7.8,"In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there.",62.0,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,"Animation Dorota Kobiela In a story depicted in oil painted animation, a young man comes to the last hometown of painter Vincent van Gogh (Robert Gulaczyk) to deliver the troubled artist's final letter and ends up investigating his final days there. Hugh Welchman Douglas Booth Jerome Flynn Robert Gulaczyk"
588,Pride,Biography,7.8,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,79.0,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,51841,Biography Matthew Warchus U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984. Bill Nighy Imelda Staunton Dominic West Paddy Considine
589,Le passé,Drama,7.8,"An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce.",85.0,Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,"Drama Asghar Farhadi An Iranian man deserts his French wife and her two children to return to his homeland. Meanwhile, his wife starts up a new relationship, a reality her husband confronts upon his wife's request for a divorce. Bérénice Bejo Tahar Rahim Ali Mosaffa Pauline Burlet"
590,La grande bellezza,Drama,7.8,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",86.0,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125,"Drama Paolo Sorrentino Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty. Toni Servillo Carlo Verdone Sabrina Ferilli Carlo Buccirosso"
591,The Lunchbox,Drama,7.8,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,76.0,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,Drama Ritesh Batra A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox. Irrfan Khan Nimrat Kaur Nawazuddin Siddiqui Lillete Dubey
